2026-07-26 17:38:46,029 | INFO | SCOOBA State -> LISTENING
2026-07-26 17:38:46,030 | INFO | SCOOBA State -> READY
2026-07-26 17:38:46,031 | INFO | SCOOBA is now waiting for commands.
2026-07-26 18:41:38,861 | INFO | Imported existing <module 'comtypes.gen' from 'C:\\Users\\sachi\\SCOOBA\\.venv\\Lib\\site-packages\\comtypes\\gen\\__init__.py'>
2026-07-26 18:41:38,862 | INFO | Using writeable comtypes cache directory: 'C:\Users\sachi\SCOOBA\.venv\Lib\site-packages\comtypes\gen'
2026-07-26 18:41:39,582 | INFO | SCOOBA State -> BOOTING
2026-07-26 18:41:39,582 | INFO | SCOOBA boot sequence started.
2026-07-26 18:41:39,582 | INFO | Starting registered services...
2026-07-26 18:41:39,583 | INFO | Starting Logger Service...
2026-07-26 18:41:39,583 | INFO | Logger Service Started
2026-07-26 18:41:39,583 | INFO | SCOOBA State -> SPEAKING
2026-07-26 18:41:43,536 | INFO | SCOOBA State -> READY
2026-07-26 18:41:43,539 | INFO | SCOOBA State -> LISTENING
2026-07-26 18:41:48,029 | INFO | SCOOBA State -> READY
2026-07-26 18:41:48,030 | INFO | SCOOBA is now waiting for commands.
2026-07-26 18:50:08,922 | INFO | Imported existing <module 'comtypes.gen' from 'C:\\Users\\sachi\\SCOOBA\\.venv\\Lib\\site-packages\\comtypes\\gen\\__init__.py'>
2026-07-26 18:50:08,923 | INFO | Using writeable comtypes cache directory: 'C:\Users\sachi\SCOOBA\.venv\Lib\site-packages\comtypes\gen'
2026-07-26 18:50:09,360 | INFO | SCOOBA State -> BOOTING
2026-07-26 18:50:09,360 | INFO | SCOOBA boot sequence started.
2026-07-26 18:50:09,360 | INFO | Starting registered services...
2026-07-26 18:50:09,360 | INFO | Starting Logger Service...
2026-07-26 18:50:09,360 | INFO | Logger Service Started
2026-07-26 18:50:09,360 | INFO | SCOOBA State -> SPEAKING
2026-07-26 18:50:13,558 | INFO | SCOOBA State -> READY
2026-07-26 18:50:13,561 | INFO | SCOOBA State -> LISTENING
2026-07-26 18:50:17,587 | INFO | SCOOBA State -> READY
2026-07-26 18:50:17,587 | INFO | SCOOBA is now waiting for commands.
2026-07-26 18:53:10,005 | INFO | SCOOBA State -> BOOTING
2026-07-26 18:53:10,005 | INFO | SCOOBA boot sequence started.
2026-07-26 18:53:10,006 | INFO | Starting registered services...
2026-07-26 18:53:10,006 | INFO | Starting Logger Service...
2026-07-26 18:53:10,006 | INFO | Logger Service Started
2026-07-26 18:53:10,006 | INFO | SCOOBA State -> SPEAKING
2026-07-26 18:58:28,503 | INFO | SCOOBA State -> BOOTING
2026-07-26 18:58:28,504 | INFO | SCOOBA boot sequence started.
2026-07-26 18:58:28,504 | INFO | Starting registered services...
2026-07-26 18:58:28,504 | INFO | Starting Logger Service...
2026-07-26 18:58:28,504 | INFO | Logger Service Started
2026-07-26 18:58:28,505 | INFO | SCOOBA State -> SPEAKING
2026-07-26 18:58:36,236 | INFO | SCOOBA State -> READY
2026-07-26 18:58:36,239 | INFO | SCOOBA State -> LISTENING
2026-07-26 18:58:42,769 | INFO | SCOOBA State -> READY
2026-07-26 18:58:42,770 | INFO | SCOOBA is now waiting for commands.
2026-07-26 19:05:06,599 | INFO | SCOOBA State -> BOOTING
2026-07-26 19:05:06,600 | INFO | SCOOBA boot sequence started.
2026-07-26 19:05:06,600 | INFO | Starting registered services...
2026-07-26 19:05:06,600 | INFO | Starting Logger Service...
2026-07-26 19:05:06,601 | INFO | Logger Service Started
2026-07-26 19:05:06,601 | INFO | SCOOBA State -> SPEAKING
2026-07-26 19:05:10,455 | INFO | SCOOBA State -> READY
2026-07-26 19:05:10,459 | INFO | SCOOBA State -> LISTENING
2026-07-26 19:05:13,980 | INFO | SCOOBA State -> READY
2026-07-26 19:05:13,981 | INFO | SCOOBA State -> SPEAKING
2026-07-26 19:05:16,069 | INFO | SCOOBA State -> READY
2026-07-26 19:05:16,070 | INFO | SCOOBA State -> LISTENING
2026-07-26 19:05:20,091 | INFO | SCOOBA State -> READY
2026-07-26 19:05:20,091 | INFO | SCOOBA State -> SPEAKING
2026-07-26 19:05:22,460 | INFO | SCOOBA State -> READY
2026-07-26 19:05:22,461 | INFO | SCOOBA State -> LISTENING
2026-07-26 19:05:26,493 | INFO | SCOOBA State -> READY
2026-07-26 19:05:26,493 | INFO | SCOOBA State -> SPEAKING
2026-07-26 19:05:29,102 | INFO | SCOOBA State -> READY
2026-07-26 19:05:29,102 | INFO | SCOOBA State -> LISTENING
2026-07-26 19:05:33,660 | INFO | SCOOBA State -> READY
2026-07-26 19:05:33,660 | INFO | SCOOBA State -> SPEAKING
2026-07-26 19:05:37,235 | INFO | SCOOBA State -> READY
2026-07-26 19:05:37,236 | INFO | SCOOBA State -> LISTENING
2026-07-26 19:05:41,772 | INFO | SCOOBA State -> READY
2026-07-26 19:05:41,773 | INFO | SCOOBA State -> SPEAKING
2026-07-26 19:05:44,009 | INFO | SCOOBA State -> READY
2026-07-26 19:05:44,010 | INFO | SCOOBA State -> LISTENING
2026-07-26 19:05:48,538 | INFO | SCOOBA State -> READY
2026-07-26 19:05:48,539 | INFO | SCOOBA State -> SPEAKING
2026-07-26 19:05:51,279 | INFO | SCOOBA State -> READY
2026-07-26 19:05:51,279 | INFO | SCOOBA State -> LISTENING
2026-07-26 19:05:55,782 | INFO | SCOOBA State -> READY
2026-07-26 19:05:55,783 | INFO | SCOOBA State -> SPEAKING
2026-07-26 19:05:58,697 | INFO | SCOOBA State -> READY
2026-07-26 19:05:58,698 | INFO | SCOOBA State -> LISTENING
2026-07-26 19:06:03,690 | INFO | SCOOBA State -> READY
2026-07-26 19:06:03,690 | INFO | SCOOBA State -> SPEAKING
2026-07-26 19:06:06,111 | INFO | SCOOBA State -> READY
2026-07-26 19:06:06,111 | INFO | SCOOBA State -> LISTENING
2026-07-26 19:15:28,896 | INFO | SCOOBA State -> BOOTING
2026-07-26 19:15:28,896 | INFO | SCOOBA boot sequence started.
2026-07-26 19:15:28,896 | INFO | Starting registered services...
2026-07-26 19:15:28,897 | INFO | Starting Logger Service...
2026-07-26 19:15:28,897 | INFO | Logger Service Started
2026-07-26 19:15:28,897 | INFO | SCOOBA State -> SPEAKING
2026-07-26 19:15:32,583 | INFO | SCOOBA State -> READY
2026-07-26 19:15:32,587 | INFO | SCOOBA State -> LISTENING
2026-07-26 19:15:35,514 | INFO | SCOOBA State -> READY
2026-07-26 19:15:35,514 | INFO | SCOOBA State -> SPEAKING
2026-07-26 19:15:37,942 | INFO | SCOOBA State -> READY
2026-07-26 19:15:37,943 | INFO | SCOOBA State -> LISTENING
2026-07-26 19:15:41,398 | INFO | SCOOBA State -> READY
2026-07-26 19:15:41,398 | INFO | SCOOBA State -> SPEAKING
2026-07-26 19:15:43,907 | INFO | SCOOBA State -> READY
2026-07-26 19:15:43,907 | INFO | SCOOBA State -> LISTENING
2026-07-26 19:15:47,818 | INFO | SCOOBA State -> READY
2026-07-26 19:15:47,819 | INFO | SCOOBA State -> SPEAKING
2026-07-26 19:15:50,690 | INFO | SCOOBA State -> READY
2026-07-26 19:15:50,691 | INFO | SCOOBA State -> LISTENING
2026-07-26 19:15:56,192 | INFO | SCOOBA State -> READY
2026-07-26 19:15:56,192 | INFO | SCOOBA State -> SPEAKING
2026-07-26 19:15:58,905 | INFO | SCOOBA State -> READY
2026-07-26 19:15:58,905 | INFO | SCOOBA State -> LISTENING
2026-07-26 19:16:03,364 | INFO | SCOOBA State -> READY
2026-07-26 19:16:03,364 | INFO | SCOOBA State -> SPEAKING
2026-07-26 19:16:05,586 | INFO | SCOOBA State -> READY
2026-07-26 19:16:05,587 | INFO | SCOOBA State -> LISTENING
2026-07-26 19:16:11,030 | INFO | SCOOBA State -> READY
2026-07-26 19:16:11,031 | INFO | SCOOBA State -> SPEAKING
2026-07-26 19:16:13,529 | INFO | SCOOBA State -> READY
2026-07-26 19:16:13,529 | INFO | SCOOBA State -> LISTENING
2026-07-26 19:16:16,941 | INFO | SCOOBA interrupted by user.
2026-07-26 19:18:28,455 | INFO | SCOOBA State -> BOOTING
2026-07-26 19:18:28,456 | INFO | SCOOBA boot sequence started.
2026-07-26 19:18:28,456 | INFO | Starting registered services...
2026-07-26 19:18:28,456 | INFO | Starting Logger Service...
2026-07-26 19:18:28,456 | INFO | Logger Service Started
2026-07-26 19:18:28,457 | INFO | SCOOBA State -> SPEAKING
2026-07-26 19:18:32,289 | INFO | SCOOBA State -> READY
2026-07-26 19:18:32,292 | INFO | SCOOBA State -> LISTENING
2026-07-26 19:18:36,784 | INFO | SCOOBA State -> READY
2026-07-26 19:18:36,785 | INFO | SCOOBA State -> SPEAKING
2026-07-26 19:18:39,137 | INFO | SCOOBA State -> READY
2026-07-26 19:18:39,137 | INFO | SCOOBA State -> LISTENING
2026-07-26 19:18:43,615 | INFO | SCOOBA State -> READY
2026-07-26 19:18:43,615 | INFO | SCOOBA State -> SPEAKING
2026-07-26 19:18:45,871 | INFO | SCOOBA State -> READY
2026-07-26 19:18:45,871 | INFO | SCOOBA State -> LISTENING
2026-07-26 19:18:49,889 | INFO | SCOOBA State -> READY
2026-07-26 19:18:49,890 | INFO | SCOOBA State -> SPEAKING
2026-07-26 19:18:52,182 | INFO | SCOOBA State -> READY
2026-07-26 19:18:52,182 | INFO | SCOOBA State -> LISTENING
2026-07-26 19:18:55,681 | INFO | SCOOBA State -> READY
2026-07-26 19:18:55,682 | INFO | SCOOBA State -> SPEAKING
2026-07-26 19:18:57,763 | INFO | SCOOBA State -> READY
2026-07-26 19:18:57,763 | INFO | SCOOBA State -> LISTENING
2026-07-26 19:18:59,743 | INFO | SCOOBA interrupted by user.
2026-07-26 19:23:53,390 | INFO | SCOOBA State -> BOOTING
2026-07-26 19:23:53,390 | INFO | SCOOBA boot sequence started.
2026-07-26 19:23:53,390 | INFO | Starting registered services...
2026-07-26 19:23:53,391 | INFO | Starting Logger Service...
2026-07-26 19:23:53,391 | INFO | Logger Service Started
2026-07-26 19:23:53,391 | INFO | SCOOBA State -> SPEAKING
2026-07-26 19:23:56,886 | INFO | SCOOBA State -> READY
2026-07-26 19:23:56,889 | INFO | SCOOBA State -> LISTENING
2026-07-26 19:23:59,829 | INFO | SCOOBA State -> READY
2026-07-26 19:23:59,830 | INFO | SCOOBA State -> SPEAKING
2026-07-26 19:24:01,988 | INFO | SCOOBA State -> READY
2026-07-26 19:24:01,988 | INFO | SCOOBA State -> LISTENING
2026-07-26 19:24:04,928 | INFO | SCOOBA State -> READY
2026-07-26 19:24:04,929 | INFO | SCOOBA State -> SPEAKING
2026-07-26 19:24:07,118 | INFO | SCOOBA State -> READY
2026-07-26 19:24:07,119 | INFO | SCOOBA State -> LISTENING
2026-07-26 19:24:10,550 | INFO | SCOOBA State -> READY
2026-07-26 19:24:10,550 | INFO | SCOOBA State -> SPEAKING
2026-07-26 19:24:13,400 | INFO | SCOOBA State -> READY
2026-07-26 19:24:13,401 | INFO | SCOOBA State -> LISTENING
2026-07-26 19:24:17,338 | INFO | SCOOBA State -> READY
2026-07-26 19:24:17,339 | INFO | SCOOBA State -> SPEAKING
